,league,country,url
112,ATP Belgrade,serbia,http://www.oddsportal.com//tennis/serbia/atp-belgrade/results/
113,WTA Portoroz,slovenia,http://www.oddsportal.com//tennis/slovenia/wta-portoroz/results/
114,ATP Johannesburg,south-africa,http://www.oddsportal.com//tennis/south-africa/atp-johannesburg/results/
115,WTA Seoul,south-korea,http://www.oddsportal.com//tennis/south-korea/wta-seoul/results/
116,ATP Barcelona,spain,http://www.oddsportal.com//tennis/spain/atp-barcelona/results/
117,ATP Madrid,spain,http://www.oddsportal.com//tennis/spain/atp-madrid/results/
118,ATP Valencia,spain,http://www.oddsportal.com//tennis/spain/atp-valencia/results/
119,WTA Barcelona,spain,http://www.oddsportal.com//tennis/spain/wta-barcelona/results/
120,WTA Madrid,spain,http://www.oddsportal.com//tennis/spain/wta-madrid/results/
121,WTA Mallorca,spain,http://www.oddsportal.com//tennis/spain/wta-mallorca/results/
122,WTA Marbella,spain,http://www.oddsportal.com//tennis/spain/wta-marbella/results/
123,ATP Bastad,sweden,http://www.oddsportal.com//tennis/sweden/atp-bastad/results/
124,ATP Stockholm,sweden,http://www.oddsportal.com//tennis/sweden/atp-stockholm/results/
125,WTA Bastad,sweden,http://www.oddsportal.com//tennis/sweden/wta-bastad/results/
126,ATP Basel,switzerland,http://www.oddsportal.com//tennis/switzerland/atp-basel/results/
127,ATP Geneva,switzerland,http://www.oddsportal.com//tennis/switzerland/atp-geneva/results/
128,ATP Gstaad,switzerland,http://www.oddsportal.com//tennis/switzerland/atp-gstaad/results/
129,WTA Biel,switzerland,http://www.oddsportal.com//tennis/switzerland/wta-biel/results/
130,WTA Gstaad,switzerland,http://www.oddsportal.com//tennis/switzerland/wta-gstaad/results/
131,WTA Taipei,taiwan,http://www.oddsportal.com//tennis/taiwan/wta-taipei/results/
132,ATP Bangkok,thailand,http://www.oddsportal.com//tennis/thailand/atp-bangkok/results/
133,WTA Pattaya,thailand,http://www.oddsportal.com//tennis/thailand/wta-pattaya/results/
134,ATP Antalya,turkey,http://www.oddsportal.com//tennis/turkey/atp-antalya/results/
135,ATP Istanbul,turkey,http://www.oddsportal.com//tennis/turkey/atp-istanbul/results/
136,WTA Istanbul,turkey,http://www.oddsportal.com//tennis/turkey/wta-istanbul/results/
137,ATP Atlanta,usa,http://www.oddsportal.com//tennis/usa/atp-atlanta/results/
138,ATP Cincinnati,usa,http://www.oddsportal.com//tennis/usa/atp-cincinnati/results/
139,ATP Delray Beach,usa,http://www.oddsportal.com//tennis/usa/atp-delray-beach/results/
140,ATP Houston,usa,http://www.oddsportal.com//tennis/usa/atp-houston/results/
141,ATP Indian Wells,usa,http://www.oddsportal.com//tennis/usa/atp-indian-wells/results/
142,ATP Indianapolis,usa,http://www.oddsportal.com//tennis/usa/atp-indianapolis/results/
143,ATP Los Angeles,usa,http://www.oddsportal.com//tennis/usa/atp-los-angeles/results/
144,ATP Memphis,usa,http://www.oddsportal.com//tennis/usa/atp-memphis/results/
145,ATP Miami,usa,http://www.oddsportal.com//tennis/usa/atp-miami/results/
146,ATP New Haven,usa,http://www.oddsportal.com//tennis/usa/atp-new-haven/results/
147,ATP New York,usa,http://www.oddsportal.com//tennis/usa/atp-new-york/results/
148,ATP Newport,usa,http://www.oddsportal.com//tennis/usa/atp-newport/results/
149,ATP San Jose,usa,http://www.oddsportal.com//tennis/usa/atp-san-jose/results/
150,ATP US Open,usa,http://www.oddsportal.com//tennis/usa/atp-us-open/results/
151,ATP Washington,usa,http://www.oddsportal.com//tennis/usa/atp-washington/results/
152,ATP Winston-Salem,usa,http://www.oddsportal.com//tennis/usa/atp-winston-salem/results/
153,WTA Carlsbad,usa,http://www.oddsportal.com//tennis/usa/wta-carlsbad/results/
154,WTA Charleston,usa,http://www.oddsportal.com//tennis/usa/wta-charleston/results/
155,WTA Cincinnati,usa,http://www.oddsportal.com//tennis/usa/wta-cincinnati/results/
156,WTA Dallas,usa,http://www.oddsportal.com//tennis/usa/wta-dallas/results/
157,WTA Indian Wells,usa,http://www.oddsportal.com//tennis/usa/wta-indian-wells/results/
158,WTA Los Angeles,usa,http://www.oddsportal.com//tennis/usa/wta-los-angeles/results/
159,WTA Memphis,usa,http://www.oddsportal.com//tennis/usa/wta-memphis/results/
160,WTA Miami,usa,http://www.oddsportal.com//tennis/usa/wta-miami/results/
161,WTA New Haven,usa,http://www.oddsportal.com//tennis/usa/wta-new-haven/results/
162,WTA Ponte Vedra,usa,http://www.oddsportal.com//tennis/usa/wta-ponte-vedra/results/
163,WTA San Diego,usa,http://www.oddsportal.com//tennis/usa/wta-san-diego/results/
164,WTA Stanford,usa,http://www.oddsportal.com//tennis/usa/wta-stanford/results/
165,WTA US Open,usa,http://www.oddsportal.com//tennis/usa/wta-us-open/results/
166,WTA Washington,usa,http://www.oddsportal.com//tennis/usa/wta-washington/results/
167,ATP Dubai,united-arab-emirates,http://www.oddsportal.com//tennis/united-arab-emirates/atp-dubai/results/
168,WTA Dubai,united-arab-emirates,http://www.oddsportal.com//tennis/united-arab-emirates/wta-dubai/results/
169,ATP Eastbourne,united-kingdom,http://www.oddsportal.com//tennis/united-kingdom/atp-eastbourne/results/
170,ATP London,united-kingdom,http://www.oddsportal.com//tennis/united-kingdom/atp-london/results/
171,ATP Nottingham,united-kingdom,http://www.oddsportal.com//tennis/united-kingdom/atp-nottingham/results/
172,ATP Wimbledon,united-kingdom,http://www.oddsportal.com//tennis/united-kingdom/atp-wimbledon/results/
173,WTA Birmingham,united-kingdom,http://www.oddsportal.com//tennis/united-kingdom/wta-birmingham/results/
174,WTA Eastbourne,united-kingdom,http://www.oddsportal.com//tennis/united-kingdom/wta-eastbourne/results/
175,WTA Nottingham,united-kingdom,http://www.oddsportal.com//tennis/united-kingdom/wta-nottingham/results/
176,WTA Wimbledon,united-kingdom,http://www.oddsportal.com//tennis/united-kingdom/wta-wimbledon/results/
177,WTA Tashkent,uzbekistan,http://www.oddsportal.com//tennis/uzbekistan/wta-tashkent/results/
178,ATP Davis Cup - Group I,world,http://www.oddsportal.com//tennis/world/atp-davis-cup-group-i/results/
179,ATP Davis Cup - Group II,world,http://www.oddsportal.com//tennis/world/atp-davis-cup-group-ii/results/
180,ATP Davis Cup - Group III,world,http://www.oddsportal.com//tennis/world/atp-davis-cup-group-iii/results/
181,ATP Davis Cup - Group IV,world,http://www.oddsportal.com//tennis/world/atp-davis-cup-group-iv/results/
182,ATP Davis Cup - World Group,world,http://www.oddsportal.com//tennis/world/atp-davis-cup-world-group/results/
183,ATP Finals - London,world,http://www.oddsportal.com//tennis/world/atp-finals-london/results/
184,ATP Next Gen Finals - Milan,world,http://www.oddsportal.com//tennis/world/atp-next-gen-finals-milan/results/
185,ATP Olympic Games,world,http://www.oddsportal.com//tennis/world/atp-olympic-games/results/
186,WTA Fed Cup - Group I,world,http://www.oddsportal.com//tennis/world/wta-fed-cup-group-i/results/
187,WTA Fed Cup - Group II,world,http://www.oddsportal.com//tennis/world/wta-fed-cup-group-ii/results/
188,WTA Fed Cup - Group III,world,http://www.oddsportal.com//tennis/world/wta-fed-cup-group-iii/results/
189,WTA Fed Cup - World Group,world,http://www.oddsportal.com//tennis/world/wta-fed-cup-world-group/results/
190,WTA Fed Cup - World Group II,world,http://www.oddsportal.com//tennis/world/wta-fed-cup-world-group-ii/results/
191,WTA Finals - Singapore,world,http://www.oddsportal.com//tennis/world/wta-finals-singapore/results/
192,WTA Olympic Games,world,http://www.oddsportal.com//tennis/world/wta-olympic-games/results/
