,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2,tournament_url
20,ATP Buenos Aires,argentina,2017-02-14,Silva D. R.,Giannessi A.,"Final result 1:2 (7:5, 66:7, 4:6)",1.58,2.51,-3,1.93,1.93,+22,1.88,1.98,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/dutra-da-silva-rogerio-giannessi-alessandro-611zQmh7/
21,ATP Buenos Aires,argentina,2017-02-14,Ramos A.,Pella G.,"Final result 2:1 (68:7, 6:4, 7:66)",1.56,2.58,-3,1.92,1.93,+22.5,1.99,1.86,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/ramos-vinolas-albert-pella-guido-M3CZq6St/
22,ATP Buenos Aires,argentina,2017-02-14,Andreozzi G.,Olivo R.,"Final result 2:1 (2:6, 6:4, 6:4)",1.68,2.31,-2.5,1.90,1.90,+22.5,1.90,1.95,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/andreozzi-guido-olivo-renzo-ph0vP77D/
23,ATP Buenos Aires,argentina,2017-02-14,Berlocq C.,Kovalik J.,"Final result 2:0 (6:4, 6:4)",1.57,2.54,-3,1.93,1.93,+22,1.88,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/berlocq-carlos-kovalik-jozef-OxCVQTx1/
24,ATP Buenos Aires,argentina,2017-02-14,Dolgopolov A.,Tipsarevic J.,"Final result 2:0 (6:3, 6:3)",1.95,1.93,+0.5,1.85,1.95,+22.5,1.96,1.89,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/dolgopolov-alexandr-tipsarevic-janko-8KEos4Ca/
25,ATP Buenos Aires,argentina,2017-02-14,Robert S.,Delbonis F.,"Final result 0:2 (3:6, 1:6)",5.11,1.20,+5,1.83,2.03,+20.5,1.99,1.86,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/robert-stephane-delbonis-federico-CxHOROCC/
26,ATP Buenos Aires,argentina,2017-02-13,Mayer L.,Elias G.,"Final result 2:1 (4:6, 6:4, 6:4)",2.01,1.88,+0.5,1.93,1.88,+22.5,1.86,1.99,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/mayer-leonardo-elias-gastao-0fBwqQsm/
27,ATP Buenos Aires,argentina,2017-02-13,Gonzalez M.,Andreozzi G.,"Final result 0:2 (0:6, 4:6)",1.98,1.88,+0.5,1.87,1.93,+23,1.97,1.88,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/gonzalez-maximo-andreozzi-guido-rcP7V6Dm/
28,ATP Buenos Aires,argentina,2017-02-13,Kovalik J.,Ramirez-H.R.,"Final result 2:1 (6:3, 1:6, 6:4)",none,none,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/kovalik-jozef-ramirez-hidalgo-ruben-0bB6R3rl/
29,ATP Buenos Aires,argentina,2017-02-13,Silva D. R.,Souza J.,"Final result 2:0 (6:2, 6:2)",none,none,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/dutra-da-silva-rogerio-souza-joao-2kWXGDUS/
30,ATP Buenos Aires,argentina,2017-02-13,Lajovic D.,Giannessi A.,"Final result 1:2 (3:6, 6:3, 1:6)",none,none,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/lajovic-dusan-giannessi-alessandro-nDfN3IPT/
31,ATP Buenos Aires,argentina,2017-02-11,Lajovic D.,Bolelli S.,"Final result 2:0 (6:1, 6:4)",1.48,2.76,-3.5,1.95,1.90,+22,1.95,1.90,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/lajovic-dusan-bolelli-simone-Wl4BM8s8/
32,ATP Buenos Aires,argentina,2017-02-11,Carballes Baena R.,Giannessi A.,"Final result 0:2 (4:6, 4:6)",2.27,1.67,+2.5,1.88,1.98,+22,1.90,1.95,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/carballes-baena-roberto-giannessi-alessandro-Au3FLSdE/
33,ATP Buenos Aires,argentina,2017-02-11,Pena Lopez M.,Andreozzi G.,"Final result 0:2 (4:6, 2:6)",5.92,1.15,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/pena-lopez-manuel-andreozzi-guido-xfJe1bBa/
34,ATP Buenos Aires,argentina,2017-02-11,Kovalik J.,Martin A.,Martin A. retired (5:2),1.51,2.65,-3,1.86,1.99,+22.5,1.97,1.88,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/kovalik-jozef-martin-andrej-2yRr40Rt/
35,ATP Buenos Aires,argentina,2017-02-11,Ramirez-H.R.,De Greef A.,"Final result 2:0 (6:4, 6:2)",2.22,1.70,+2,1.91,1.94,+22,1.93,1.92,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/ramirez-hidalgo-ruben-de-greef-arthur-GvVn3Ktm/
36,ATP Buenos Aires,argentina,2017-02-11,Kicker N.,Gonzalez M.,"Final result 1:2 (3:6, 6:1, 3:6)",none,none,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/kicker-nicolas-gonzalez-maximo-b3Ki2vdg/
37,ATP Buenos Aires,argentina,2017-02-11,Cecchinato M.,Souza J.,"Final result 0:2 (61:7, 3:6)",1.86,1.99,-0.5,1.91,1.89,+23,1.96,1.89,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/cecchinato-marco-souza-joao-h4YUDGw8/
38,ATP Buenos Aires,argentina,2017-02-11,Silva D. R.,Coria F.,"Final result 2:0 (6:2, 6:0)",1.45,2.88,none,none,none,+21.5,1.88,1.98,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2017/dutra-da-silva-rogerio-coria-federico-EDZQEdO1/
