,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
0,ATP Buenos Aires,argentina,2011-02-20,Almagro N.,Chela J. I.,"Final result 2:1 (6:3, 3:6, 6:4)",1.41,3.21,-3.5,1.93,1.98,+22,1.95,1.95
1,ATP Buenos Aires,argentina,2011-02-20,Chela J. I.,Wawrinka S.,"Final result 2:0 (6:2, 6:2)",3.21,1.41,+3,2.06,1.85,+22.5,2.02,1.88
2,ATP Buenos Aires,argentina,2011-02-19,Almagro N.,Robredo T.,"Final result 2:0 (7:5, 6:1)",1.60,2.54,-2.5,2.11,1.81,+22.5,1.86,2.04
3,ATP Buenos Aires,argentina,2011-02-19,Chela J. I.,Montanes A.,"Final result 2:1 (6:4, 3:6, 6:3)",1.53,2.71,-3,2.02,1.88,+22.5,2.04,1.87
4,ATP Buenos Aires,argentina,2011-02-19,Almagro N.,Acasuso J.,"Final result 2:0 (7:5, 6:3)",1.21,4.99,-4.5,1.81,2.11,+21,1.90,2.00
5,ATP Buenos Aires,argentina,2011-02-19,Monaco J.,Wawrinka S.,"Final result 0:2 (5:7, 3:6)",2.70,1.53,+2.5,2.02,1.88,+22.5,1.97,1.93
6,ATP Buenos Aires,argentina,2011-02-19,Nalbandian D.,Robredo T.,"Final result 0:2 (4:6, 4:6)",1.40,3.22,-4,2.08,1.84,+22.5,2.04,1.87
7,ATP Buenos Aires,argentina,2011-02-18,Ramos A.,Robredo T.,"Final result 0:2 (3:6, 5:7)",4.97,1.21,+5,2.09,1.81,+20.5,1.94,1.94
8,ATP Buenos Aires,argentina,2011-02-17,Nalbandian D.,Brzezicki J. P.,"Final result 2:0 (6:1, 6:2)",1.10,8.33,-5.5,1.79,2.12,+20,2.06,1.83
9,ATP Buenos Aires,argentina,2011-02-17,Cuevas P.,Acasuso J.,"Final result 1:2 (7:6, 5:7, 1:6)",1.54,2.63,-2.5,1.89,2.00,+22.5,2.08,1.83
10,ATP Buenos Aires,argentina,2011-02-17,Almagro N.,Mayer L.,"Final result 2:1 (6:7, 6:1, 6:3)",1.24,4.48,-4.5,2.20,1.74,+21,1.85,2.04
11,ATP Buenos Aires,argentina,2011-02-17,Monaco J.,Schwank E.,"Final result 2:0 (7:6, 6:2)",1.32,3.70,-4,2.00,1.89,none,none,none
12,ATP Buenos Aires,argentina,2011-02-16,Hanescu V.,Wawrinka S.,"Final result 1:2 (7:6, 1:6, 6:7)",4.51,1.24,+4.5,1.91,1.98,+21,2.02,1.86
13,ATP Buenos Aires,argentina,2011-02-16,Chela J. I.,Zeballos H.,"Final result 2:0 (7:5, 6:2)",1.42,3.09,-3,1.88,2.00,+22,1.99,1.90
14,ATP Buenos Aires,argentina,2011-02-16,Fognini F.,Montanes A.,"Final result 1:2 (2:6, 6:4, 4:6)",2.61,1.55,+2,2.16,1.76,+22.5,2.04,1.85
15,ATP Buenos Aires,argentina,2011-02-16,Acasuso J.,Dolgopolov A.,"Final result 2:0 (6:2, 6:4)",5.46,1.18,+4.5,2.15,1.75,+21,2.16,1.74
16,ATP Buenos Aires,argentina,2011-02-15,Nalbandian D.,Starace P.,"Final result 2:0 (6:4, 6:4)",1.27,4.13,-3.5,1.83,2.02,+22,2.10,1.78
17,ATP Buenos Aires,argentina,2011-02-15,Gimeno-Traver D.,Hanescu V.,"Final result 0:2 (3:6, 6:7)",2.44,1.61,+2.5,1.97,1.88,+22,1.96,1.89
18,ATP Buenos Aires,argentina,2011-02-15,Berlocq C.,Wawrinka S.,"Final result 1:2 (4:6, 6:3, 3:6)",5.01,1.21,+4.5,1.99,1.86,+20.5,2.11,1.77
19,ATP Buenos Aires,argentina,2011-02-15,Andujar-Alba P.,Zeballos H.,"Final result 0:2 (6:7, 2:6)",2.16,1.76,+2,1.83,2.04,+22,2.02,1.83
20,ATP Buenos Aires,argentina,2011-02-15,Monaco J.,Navarro I.,"Final result 2:0 (6:2, 7:6)",1.21,4.96,-4.5,1.75,2.14,+20.5,1.93,1.93
21,ATP Buenos Aires,argentina,2011-02-15,Kubot L.,Cuevas P.,"Final result 1:2 (7:5, 5:7, 3:6)",2.73,1.51,+2.5,1.96,1.89,+21.5,1.90,1.95
22,ATP Buenos Aires,argentina,2011-02-15,Andreev I.,Schwank E.,"Final result 0:2 (4:6, 6:7)",1.66,2.34,-2.5,1.93,1.93,+22,1.91,1.94
23,ATP Buenos Aires,argentina,2011-02-15,Almagro N.,Galdon P.,"Final result 2:0 (6:1, 6:2)",1.06,12.02,-6,1.87,1.97,+18.5,1.88,1.98
24,ATP Buenos Aires,argentina,2011-02-15,Brzezicki J. P.,Volandri F.,"Final result 2:0 (6:1, 6:3)",1.57,2.54,-1.5,1.80,2.06,+22.5,1.95,1.90
25,ATP Buenos Aires,argentina,2011-02-15,Ramos A.,Souza J.,"Final result 2:0 (6:4, 6:0)",1.63,2.41,-2,1.85,2.00,+22.5,1.98,1.88
26,ATP Buenos Aires,argentina,2011-02-15,Chela J. I.,Machado R.,"Final result 2:1 (4:6, 6:2, 6:2)",1.23,4.63,-4.5,1.86,1.99,+20,1.93,1.93
27,ATP Buenos Aires,argentina,2011-02-14,Gonzalez M.,Robredo T.,"Final result 0:2 (5:7, 2:6)",4.11,1.27,+4,2.25,1.68,+21.5,2.06,1.81
28,ATP Buenos Aires,argentina,2011-02-14,Mayer L.,Delbonis F.,"Final result 2:0 (7:6, 7:5)",1.40,3.17,-4,2.04,1.81,+21.5,2.02,1.84
29,ATP Buenos Aires,argentina,2011-02-14,Fognini F.,Gil F.,"Final result 2:1 (1:6, 6:2, 6:2)",1.48,2.84,-3.5,1.81,2.06,+22,1.99,1.86
30,ATP Buenos Aires,argentina,2011-02-14,Ramirez-H.R.,Montanes A.,"Final result 0:2 (1:6, 6:7)",3.58,1.33,+4,2.14,1.75,+21.5,2.09,1.79
31,ATP Buenos Aires,argentina,2011-02-14,Capdeville P.,Brzezicki J. P.,"Final result 1:2 (3:6, 6:3, 2:6)",none,none,none,none,none,none,none,none
32,ATP Buenos Aires,argentina,2011-02-14,Junqueira D.,Navarro I.,"Final result 0:2 (6:7, 5:7)",none,none,none,none,none,none,none,none
33,ATP Buenos Aires,argentina,2011-02-14,Lapentti G.,Galdon P.,"Final result 1:2 (3:6, 6:1, 4:6)",none,none,none,none,none,none,none,none
34,ATP Buenos Aires,argentina,2011-02-14,Ramos A.,Hocevar R.,"Final result 2:0 (6:4, 6:2)",none,none,none,none,none,none,none,none
35,ATP Buenos Aires,argentina,2011-02-13,Velotti A.,Brzezicki J. P.,"Final result 0:2 (5:7, 0:6)",none,none,none,none,none,none,none,none
