,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
0,ATP Buenos Aires,argentina,2012-02-26,Ferrer D.,Almagro N.,"Final result 2:1 (4:6, 6:3, 6:2)",1.29,4.09,-4.5,2.04,1.87,+21,1.96,1.94
1,ATP Buenos Aires,argentina,2012-02-25,Ferrer D.,Nalbandian D.,"Final result 2:0 (6:1, 6:4)",1.43,3.14,-4,2.00,1.91,+21.5,2.02,1.88
2,ATP Buenos Aires,argentina,2012-02-25,Wawrinka S.,Almagro N.,"Final result 1:2 (4:6, 6:3, 5:7)",2.79,1.51,+3,1.99,1.92,+22.5,1.88,2.02
3,ATP Buenos Aires,argentina,2012-02-25,Berlocq C.,Nalbandian D.,"Final result 0:2 (0:6, 3:6)",3.56,1.34,+3,2.12,1.81,+22,2.06,1.85
4,ATP Buenos Aires,argentina,2012-02-24,Ferrer D.,Gonzalez F.,"Final result 2:0 (6:2, 6:4)",1.08,10.25,-6,2.13,1.80,+19,1.88,2.02
5,ATP Buenos Aires,argentina,2012-02-24,Andreev I.,Almagro N.,"Final result 0:2 (3:6, 5:7)",3.71,1.32,+3.5,1.95,1.95,+21.5,1.69,2.29
6,ATP Buenos Aires,argentina,2012-02-24,Wawrinka S.,Nishikori K.,"Final result 2:0 (6:4, 6:2)",1.65,2.40,-1.5,1.89,2.02,+22.5,1.98,1.93
7,ATP Buenos Aires,argentina,2012-02-24,Delbonis F.,Almagro N.,"Final result 0:2 (3:6, 2:6)",4.74,1.22,+4,2.41,1.63,+21,1.76,2.16
8,ATP Buenos Aires,argentina,2012-02-23,Nalbandian D.,Monaco J.,"Final result 2:0 (6:3, 6:1)",2.19,1.75,+1.5,2.00,1.89,+22,2.00,1.89
9,ATP Buenos Aires,argentina,2012-02-23,Verdasco F.,Andreev I.,"Final result 0:2 (63:7, 3:6)",1.73,2.22,-2.5,1.98,1.91,+22,1.79,2.13
10,ATP Buenos Aires,argentina,2012-02-23,Simon G.,Berlocq C.,"Final result 0:2 (2:6, 1:6)",1.71,2.24,-1.5,1.81,2.10,+22,1.83,2.06
11,ATP Buenos Aires,argentina,2012-02-23,Gonzalez F.,Ramos A.,"Final result 2:0 (7:66, 7:65)",3.58,1.33,+4.5,1.94,1.94,+21,1.98,1.91
12,ATP Buenos Aires,argentina,2012-02-22,Ferrer D.,Bagnis F.,"Final result 2:0 (6:3, 6:4)",1.01,24.11,-7,1.81,2.09,+17.5,2.18,1.75
13,ATP Buenos Aires,argentina,2012-02-22,Hanescu V.,Nishikori K.,"Final result 1:2 (6:3, 5:7, 1:6)",2.93,1.45,+3,2.12,1.79,+22,1.98,1.91
14,ATP Buenos Aires,argentina,2012-02-22,Wawrinka S.,Paire B.,"Final result 2:1 (6:3, 5:7, 6:2)",1.24,4.51,-4.5,2.04,1.85,+21,1.88,2.00
15,ATP Buenos Aires,argentina,2012-02-22,Ferrer D.,Molteni A.,"Final result 2:0 (6:1, 6:0)",1.01,51.00,-7,1.71,2.20,+17.5,2.27,1.67
16,ATP Buenos Aires,argentina,2012-02-21,Nalbandian D.,Odesnik W.,"Final result 2:0 (6:2, 6:3)",1.12,7.19,-5.5,2.02,1.83,+19.5,1.93,1.93
17,ATP Buenos Aires,argentina,2012-02-21,Starace P.,Almagro N.,"Final result 1:2 (6:4, 3:6, 64:7)",3.82,1.30,+1.5,2.02,1.86,+20.5,1.78,2.10
18,ATP Buenos Aires,argentina,2012-02-21,Gil F.,Delbonis F.,"Final result 0:2 (2:6, 2:6)",2.84,1.48,+2.5,2.09,1.79,+22,1.88,1.98
19,ATP Buenos Aires,argentina,2012-02-21,Volandri F.,Monaco J. ,"Volandri F. retired (1:6, 1:3)",6.71,1.13,+5,2.27,1.67,+20,2.21,1.71
20,ATP Buenos Aires,argentina,2012-02-21,Verdasco F.,Prodon E.,"Final result 2:0 (6:4, 6:1)",1.18,5.50,-5,2.06,1.80,+20.5,2.08,1.79
21,ATP Buenos Aires,argentina,2012-02-21,Kavcic B.,Andreev I.,"Final result 0:2 (2:6, 2:6)",2.98,1.44,+1.5,2.00,1.88,+22,1.96,1.89
22,ATP Buenos Aires,argentina,2012-02-21,Simon G.,Machado R.,"Final result 2:0 (6:3, 7:5)",1.30,3.86,-4.5,2.11,1.77,+20.5,1.80,2.06
23,ATP Buenos Aires,argentina,2012-02-21,Paire B.,Marti J.,"Final result 2:1 (2:6, 7:60, 6:2)",1.70,2.25,-1.5,1.81,2.06,+22.5,2.02,1.84
24,ATP Buenos Aires,argentina,2012-02-21,Ramos A.,Chela J. I.,"Final result 2:1 (4:6, 6:3, 6:4)",2.12,1.79,+2,1.81,2.06,+22,2.08,1.79
25,ATP Buenos Aires,argentina,2012-02-21,Gil F.,Bellucci T.,Canceled,2.54,1.57,+3,1.97,1.88,+22,2.00,1.85
