,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
0,ATP Australian Open,australia,2016-01-31,Djokovic N.,Murray A.,"Final result 3:0 (6:1, 7:5, 7:63)",1.21,5.38,-6,1.91,2.02,+37.5,1.95,1.93
1,ATP Australian Open,australia,2016-01-29,Raonic M.,Murray A.,"Final result 2:3 (6:4, 5:7, 7:64, 4:6, 2:6)",3.35,1.40,+4,1.95,1.95,none,none,none
2,ATP Australian Open,australia,2016-01-28,Djokovic N.,Federer R.,"Final result 3:1 (6:1, 6:2, 3:6, 6:3)",1.36,3.60,none,none,none,none,none,none
3,ATP Australian Open,australia,2016-01-27,Monfils G.,Raonic M.,"Final result 1:3 (3:6, 6:3, 3:6, 4:6)",3.32,1.39,+4,1.99,1.92,+42,1.97,1.93
4,ATP Australian Open,australia,2016-01-27,Ferrer D.,Murray A.,"Final result 1:3 (3:6, 7:65, 2:6, 3:6)",5.73,1.18,+6,2.02,1.88,+37.5,1.95,1.93
5,ATP Australian Open,australia,2016-01-26,Djokovic N.,Nishikori K.,"Final result 3:0 (6:3, 6:2, 6:4)",1.16,6.39,-7,2.10,1.78,+36,1.93,1.97
6,ATP Australian Open,australia,2016-01-26,Federer R.,Berdych T.,"Final result 3:0 (7:64, 6:2, 6:4)",1.19,5.69,-6,2.10,1.83,+37.5,1.97,1.93
7,ATP Australian Open,australia,2016-01-25,Tomic B.,Murray A.,"Final result 0:3 (4:6, 4:6, 64:7)",8.37,1.11,+7,1.96,1.94,+33.5,1.94,1.93
8,ATP Australian Open,australia,2016-01-25,Ferrer D.,Isner J.,"Final result 3:0 (6:4, 6:4, 7:5)",1.55,2.66,-2.5,1.96,1.94,+43.5,1.93,1.97
9,ATP Australian Open,australia,2016-01-25,Raonic M.,Wawrinka S.,"Final result 3:2 (6:4, 6:3, 5:7, 4:6, 6:3)",2.38,1.67,+2,2.02,1.88,+44,1.96,1.94
10,ATP Australian Open,australia,2016-01-25,Kuznetsov An.,Monfils G.,"Final result 1:3 (5:7, 6:3, 3:6, 64:7)",4.80,1.23,+5.5,1.97,1.93,+37.5,1.99,1.92
11,ATP Australian Open,australia,2016-01-24,Federer R.,Goffin D.,"Final result 3:0 (6:2, 6:1, 6:4)",1.06,13.84,-7.5,1.88,2.02,+31.5,1.97,1.91
12,ATP Australian Open,australia,2016-01-24,Bautista-Agut R.,Berdych T.,"Final result 2:3 (6:4, 4:6, 3:6, 6:1, 3:6)",4.18,1.28,+5,2.03,1.88,+38,1.95,1.93
13,ATP Australian Open,australia,2016-01-24,Djokovic N.,Simon G.,"Final result 3:2 (6:3, 61:7, 6:4, 4:6, 6:3)",1.02,27.16,-9,2.05,1.86,+29,1.95,1.95
14,ATP Australian Open,australia,2016-01-24,Tsonga J-W.,Nishikori K.,"Final result 0:3 (4:6, 2:6, 4:6)",2.24,1.75,+1.5,2.04,1.87,+41.5,1.97,1.93
15,ATP Australian Open,australia,2016-01-23,Tomic B.,Millman J.,"Final result 3:0 (6:4, 7:64, 6:2)",1.16,6.31,-7,2.13,1.80,+36,1.91,2.00
16,ATP Australian Open,australia,2016-01-23,Sousa J.,Murray A.,"Final result 1:3 (2:6, 6:3, 2:6, 2:6)",26.10,1.02,+9.5,1.88,2.03,+28,2.00,1.91
17,ATP Australian Open,australia,2016-01-23,Sela D.,Kuznetsov An.,"Final result 1:3 (5:7, 6:3, 1:6, 64:7)",2.64,1.56,+3.5,2.00,1.91,+37,1.94,1.96
18,ATP Australian Open,australia,2016-01-23,Monfils G.,Robert S.,"Final result 3:0 (7:5, 6:3, 6:2)",1.08,10.69,-8,2.04,1.87,+30.5,1.93,1.98
19,ATP Australian Open,australia,2016-01-23,Ferrer D.,Johnson S.,"Final result 3:0 (6:1, 6:4, 6:4)",1.26,4.39,-6,2.07,1.81,+37.5,1.96,1.93
