,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
10,ATP Australian Open,australia,2018-01-22,Fognini F.,Berdych T.,"Final result 0:3 (1:6, 4:6, 4:6)",4.03,1.30,+5.5,1.99,1.92,+38,1.96,1.94
11,ATP Australian Open,australia,2018-01-21,Dimitrov G.,Kyrgios N.,"Final result 3:1 (7:63, 7:64, 4:6, 7:64)",2.40,1.66,+2,1.98,1.89,+41.5,1.92,1.99
12,ATP Australian Open,australia,2018-01-21,Edmund K.,Seppi A.,"Final result 3:1 (64:7, 7:5, 6:2, 6:3)",1.40,3.28,none,none,none,+39.5,1.92,1.99
13,ATP Australian Open,australia,2018-01-21,Nadal R.,Schwartzman D.,"Final result 3:1 (6:3, 64:7, 6:3, 6:3)",1.06,13.84,-8.5,1.96,1.94,+30,1.97,1.93
14,ATP Australian Open,australia,2018-01-21,Carreno-Busta P.,Cilic M.,"Final result 1:3 (7:62, 3:6, 60:7, 63:7)",4.85,1.23,+5.5,2.02,1.88,+36.5,1.93,1.98
15,ATP Australian Open,australia,2018-01-20,Gasquet R.,Federer R.,"Final result 0:3 (2:6, 5:7, 4:6)",10.98,1.08,+7.5,1.93,1.97,+31,1.95,1.95
16,ATP Australian Open,australia,2018-01-20,Djokovic N.,Ramos A.,"Final result 3:0 (6:2, 6:3, 6:3)",1.09,9.61,-7.5,1.95,1.95,+32,1.93,1.97
17,ATP Australian Open,australia,2018-01-20,Berdych T.,Del Potro J.,"Final result 3:0 (6:3, 6:3, 6:2)",2.61,1.57,+2.5,2.02,1.85,+40.5,1.94,1.96
18,ATP Australian Open,australia,2018-01-20,Fucsovics M.,Kicker N.,"Final result 3:0 (6:3, 6:3, 6:2)",1.21,5.23,-7,2.07,1.81,+34.5,1.96,1.94
19,ATP Australian Open,australia,2018-01-20,Chung H.,Zverev A.,"Final result 3:2 (5:7, 7:63, 2:6, 6:3, 6:0)",2.59,1.58,+3,1.99,1.92,+40,1.93,1.98
20,ATP Australian Open,australia,2018-01-20,Benneteau J.,Fognini F.,"Final result 2:3 (6:3, 2:6, 1:6, 6:4, 3:6)",2.84,1.50,+4,2.00,1.88,+38,1.94,1.96
21,ATP Australian Open,australia,2018-01-20,Thiem D.,Mannarino A.,"Final result 3:0 (6:4, 6:2, 7:5)",1.36,3.54,-5.5,1.97,1.93,+38,1.96,1.94
22,ATP Australian Open,australia,2018-01-20,Marterer M.,Sandgren T.,"Final result 1:3 (7:5, 3:6, 5:7, 65:7)",1.68,2.36,-3,2.01,1.86,+37.5,1.93,1.97
23,ATP Australian Open,australia,2018-01-19,Harrison R.,Cilic M.,"Final result 0:3 (64:7, 3:6, 64:7)",6.55,1.15,+6.5,1.88,2.02,+35,1.93,1.97
24,ATP Australian Open,australia,2018-01-19,Kyrgios N.,Tsonga J-W.,"Final result 3:1 (7:65, 4:6, 7:66, 7:65)",1.38,3.36,-4.5,1.99,1.88,+40,1.93,1.95
25,ATP Australian Open,australia,2018-01-19,Nadal R.,Dzumhur D.,"Final result 3:0 (6:1, 6:3, 6:1)",1.04,17.22,-9,1.83,2.09,+28,1.97,1.90
26,ATP Australian Open,australia,2018-01-19,Schwartzman D.,Dolgopolov A.,"Final result 3:1 (61:7, 6:2, 6:3, 6:3)",2.19,1.78,+1,2.02,1.86,+38,1.95,1.95
27,ATP Australian Open,australia,2018-01-19,Seppi A.,Karlovic I.,"Final result 3:2 (6:3, 7:64, 63:7, 65:7, 9:7)",1.68,2.36,-3,2.02,1.85,+42.5,1.97,1.92
28,ATP Australian Open,australia,2018-01-19,Dimitrov G.,Rublev A.,"Final result 3:1 (6:3, 4:6, 6:4, 6:4)",1.46,2.99,-4,1.97,1.89,+39,1.95,1.95
29,ATP Australian Open,australia,2018-01-19,Carreno-Busta P.,Muller G.,"Final result 3:1 (7:64, 4:6, 7:5, 7:5)",1.76,2.22,-2,2.02,1.88,+39.5,1.97,1.92
30,ATP Australian Open,australia,2018-01-19,Edmund K.,Basilashvili N.,"Final result 3:2 (7:60, 3:6, 4:6, 6:0, 7:5)",1.25,4.59,-6.5,1.93,1.89,+34.5,1.93,1.95
31,ATP Australian Open,australia,2018-01-18,Struff J-L.,Federer R.,"Final result 0:3 (4:6, 4:6, 64:7)",22.73,1.02,+8,1.90,1.99,+29.5,1.87,2.02
32,ATP Australian Open,australia,2018-01-18,Sandgren T.,Wawrinka S.,"Final result 3:0 (6:2, 6:1, 6:4)",3.56,1.34,+5.5,2.05,1.85,+36,1.94,1.94
33,ATP Australian Open,australia,2018-01-18,Gojowczyk P.,Zverev A.,"Final result 1:3 (1:6, 3:6, 6:4, 3:6)",5.24,1.20,+6,2.04,1.81,+36,1.96,1.93
34,ATP Australian Open,australia,2018-01-18,Verdasco F.,Marterer M.,"Final result 2:3 (4:6, 6:4, 65:7, 6:3, 3:6)",1.34,3.58,-5.5,2.01,1.84,+37.5,1.94,1.94
35,ATP Australian Open,australia,2018-01-18,Gasquet R.,Sonego L.,"Final result 3:0 (6:2, 6:2, 6:3)",1.14,6.90,-7,2.03,1.79,+32.5,1.93,1.95
36,ATP Australian Open,australia,2018-01-18,Chung H.,Medvedev D.,"Final result 3:0 (7:64, 6:1, 6:1)",1.46,2.95,-4,1.95,1.93,+38,1.94,1.94
37,ATP Australian Open,australia,2018-01-18,Goffin D.,Benneteau J.,"Final result 1:3 (6:1, 65:7, 1:6, 64:7)",1.13,7.04,-7.5,1.84,2.06,+30.5,1.93,1.95
38,ATP Australian Open,australia,2018-01-18,Djokovic N.,Monfils G.,"Final result 3:1 (4:6, 6:3, 6:1, 6:3)",1.23,4.66,-6.5,1.90,1.99,+36.5,1.98,1.91
39,ATP Australian Open,australia,2018-01-18,Khachanov K.,Del Potro J.,"Final result 1:3 (4:6, 64:7, 7:60, 4:6)",5.15,1.20,+5.5,2.13,1.79,+36,1.97,1.92
40,ATP Australian Open,australia,2018-01-18,Donskoy E.,Fognini F.,"Final result 1:3 (6:2, 3:6, 4:6, 1:6)",3.41,1.37,+5,2.05,1.81,+36.5,1.94,1.94
41,ATP Australian Open,australia,2018-01-18,Vesely J.,Mannarino A.,"Final result 1:3 (3:6, 64:7, 7:5, 3:6)",3.29,1.39,+5,1.96,1.88,+36.5,1.91,1.98
42,ATP Australian Open,australia,2018-01-18,Berdych T.,Garcia-Lopez G.,"Final result 3:1 (6:3, 2:6, 6:2, 6:3)",1.17,5.77,-7,2.06,1.84,+34.5,1.92,1.97
43,ATP Australian Open,australia,2018-01-18,Kicker N.,Lacko L.,"Final result 3:1 (6:2, 7:5, 1:6, 7:5)",5.50,1.19,+6.5,2.10,1.77,+34,1.91,1.94
44,ATP Australian Open,australia,2018-01-18,Querrey S.,Fucsovics M.,"Final result 1:3 (4:6, 66:7, 6:4, 2:6)",1.37,3.38,-5,2.02,1.87,+38,1.93,1.96
45,ATP Australian Open,australia,2018-01-18,Smyczek T.,Ramos A.,"Final result 0:3 (4:6, 2:6, 62:7)",2.89,1.47,+5,1.98,1.91,+36,1.95,1.93
46,ATP Australian Open,australia,2018-01-18,Thiem D.,Kudla D.,"Final result 3:2 (66:7, 3:6, 6:3, 6:2, 6:3)",1.08,10.58,-7.5,1.94,1.94,+31.5,1.91,1.98
47,ATP Australian Open,australia,2018-01-17,Dolgopolov A.,Ebden M.,"Final result 3:0 (7:60, 6:3, 6:4)",1.52,2.73,-3.5,1.99,1.90,+38.5,1.90,1.99
48,ATP Australian Open,australia,2018-01-17,Dimitrov G.,McDonald M.,"Final result 3:2 (4:6, 6:2, 6:4, 0:6, 8:6)",1.02,22.73,-9.5,2.05,1.85,+27.5,2.02,1.87
49,ATP Australian Open,australia,2018-01-17,Kyrgios N.,Troicki V.,"Final result 3:0 (7:5, 6:4, 7:62)",1.07,11.52,-7.5,1.94,1.94,+32,1.96,1.93
50,ATP Australian Open,australia,2018-01-17,Baghdatis M.,Rublev A.,"Final result 1:3 (4:6, 7:65, 4:6, 2:6)",3.11,1.42,+4.5,2.05,1.85,+37.5,1.92,1.97
51,ATP Australian Open,australia,2018-01-17,Schwartzman D.,Ruud C.,"Final result 3:0 (6:4, 6:2, 6:3)",1.29,4.04,-6,2.02,1.87,+35,1.93,1.95
52,ATP Australian Open,australia,2018-01-17,Nadal R.,Mayer L.,"Final result 3:0 (6:3, 6:4, 7:64)",1.03,17.65,-9,1.93,1.95,+28.5,1.96,1.93
53,ATP Australian Open,australia,2018-01-17,Cuevas P.,Harrison R.,"Final result 0:3 (4:6, 65:7, 4:6)",2.52,1.59,+2.5,2.01,1.88,+37.5,1.93,1.95
54,ATP Australian Open,australia,2018-01-17,Millman J.,Dzumhur D.,"Final result 1:3 (5:7, 6:3, 4:6, 1:6)",1.65,2.40,-4,1.99,1.86,+37.5,1.96,1.91
55,ATP Australian Open,australia,2018-01-17,Sousa J.,Cilic M.,"Final result 0:3 (1:6, 5:7, 2:6)",10.93,1.07,+7.5,2.01,1.88,+31.5,1.93,1.95
56,ATP Australian Open,australia,2018-01-17,Edmund K.,Istomin D.,"Final result 3:0 (6:2, 6:2, 6:4)",1.44,3.04,-4.5,2.04,1.85,+37.5,1.91,1.98
57,ATP Australian Open,australia,2018-01-17,Karlovic I.,Sugita Y.,"Final result 3:2 (7:63, 63:7, 7:5, 4:6, 12:10)",2.45,1.62,+2.5,1.98,1.91,+42,1.94,1.93
58,ATP Australian Open,australia,2018-01-17,Shapovalov D.,Tsonga J-W.,"Final result 2:3 (6:3, 3:6, 6:1, 64:7, 5:7)",2.60,1.56,+2.5,2.02,1.87,+39,1.93,1.96
59,ATP Australian Open,australia,2018-01-17,Carreno-Busta P.,Simon G.,"Simon G. retired (6:2, 3:0)",2.34,1.68,+2,2.01,1.85,+37.5,1.92,1.97
60,ATP Australian Open,australia,2018-01-17,Basilashvili N.,Bemelmans R.,"Final result 3:0 (7:5, 6:1, 6:3)",1.79,2.14,-2,2.01,1.85,+38.5,1.97,1.92
61,ATP Australian Open,australia,2018-01-17,Jaziri M.,Muller G.,"Final result 2:3 (5:7, 4:6, 7:65, 6:3, 2:6)",7.71,1.12,+6.5,2.09,1.81,+33.5,1.92,1.95
62,ATP Australian Open,australia,2018-01-17,Nishioka Y.,Seppi A.,"Final result 0:3 (1:6, 3:6, 4:6)",2.54,1.58,+3,2.04,1.85,+37,1.94,1.94
63,ATP Australian Open,australia,2018-01-16,Tiafoe F.,Del Potro J.,"Final result 0:3 (3:6, 4:6, 3:6)",7.05,1.13,+6.5,1.90,1.99,+34.5,1.95,1.92
64,ATP Australian Open,australia,2018-01-16,Thiem D.,Pella G.,"Final result 3:0 (6:4, 6:4, 6:4)",1.28,4.14,-5.5,1.94,1.94,+37.5,1.93,1.96
65,ATP Australian Open,australia,2018-01-16,Bedene A.,Federer R.,"Final result 0:3 (3:6, 4:6, 3:6)",22.73,1.02,+8.5,2.02,1.87,+29,1.87,2.02
66,ATP Australian Open,australia,2018-01-16,Berdych T.,De Minaur A.,"Final result 3:1 (6:3, 3:6, 6:0, 6:1)",1.48,2.88,-4.5,1.95,1.93,+38,1.92,1.97
67,ATP Australian Open,australia,2018-01-16,Zverev M.,Chung H.,"Zverev M. retired (2:6, 1:4)",4.17,1.27,+6,1.92,1.97,+36,1.93,1.95
68,ATP Australian Open,australia,2018-01-16,Garcia-Lopez G.,Paire B.,"Final result 3:1 (6:0, 64:7, 6:1, 6:4)",3.14,1.42,+4.5,1.98,1.91,+38.5,1.97,1.92
69,ATP Australian Open,australia,2018-01-16,Khachanov K.,Polansky P.,"Final result 3:0 (7:63, 7:62, 6:4)",1.21,4.97,-6,2.05,1.85,+35,1.93,1.93
70,ATP Australian Open,australia,2018-01-16,Gasquet R.,Kavcic B.,"Final result 3:0 (6:1, 6:4, 7:5)",1.07,10.98,-8.5,1.97,1.92,+29.5,1.95,1.93
71,ATP Australian Open,australia,2018-01-16,Monfils G.,Munar J.,"Final result 3:0 (6:3, 7:65, 6:4)",1.12,7.82,-8.5,2.08,1.79,+29.5,1.94,1.94
72,ATP Australian Open,australia,2018-01-16,Kokkinakis T.,Medvedev D.,"Final result 1:3 (2:6, 7:66, 68:7, 4:6)",1.77,2.18,-2,2.00,1.89,+39.5,1.90,1.99
73,ATP Australian Open,australia,2018-01-16,Kwon Soon W.,Struff J-L.,"Final result 0:3 (1:6, 2:6, 4:6)",4.47,1.25,+5.5,2.08,1.83,+36.5,1.97,1.92
74,ATP Australian Open,australia,2018-01-16,Zeballos H.,Fognini F.,"Final result 0:3 (4:6, 4:6, 5:7)",4.65,1.24,+5.5,2.09,1.81,+36.5,1.93,1.96
75,ATP Australian Open,australia,2018-01-16,Smyczek T.,Popyrin A.,"Final result 3:1 (6:3, 614:7, 6:3, 6:3)",1.26,4.31,-6,1.97,1.92,+35.5,1.95,1.93
76,ATP Australian Open,australia,2018-01-16,Chardy J.,Sandgren T.,"Final result 0:3 (4:6, 62:7, 2:6)",1.81,2.11,-1.5,2.02,1.87,+38,1.94,1.93
77,ATP Australian Open,australia,2018-01-16,Djokovic N.,Young D.,"Final result 3:0 (6:1, 6:2, 6:4)",1.08,9.87,-8,1.93,1.96,+31,1.90,1.99
78,ATP Australian Open,australia,2018-01-16,Donaldson J.,Ramos A.,"Final result 0:3 (2:6, 3:6, 4:6)",1.77,2.18,-2.5,2.01,1.85,+37.5,1.95,1.93
79,ATP Australian Open,australia,2018-01-16,Donskoy E.,Mayer F.,"Final result 3:0 (6:4, 6:4, 6:4)",1.67,2.36,-3,2.01,1.85,+38.5,1.96,1.91
80,ATP Australian Open,australia,2018-01-16,Johnson S.,Kudla D.,"Final result 1:3 (7:65, 3:6, 63:7, 2:6)",1.32,3.75,-6,2.04,1.86,+35.5,1.97,1.92
81,ATP Australian Open,australia,2018-01-16,Berankis R.,Wawrinka S.,"Final result 1:3 (3:6, 4:6, 6:2, 62:7)",2.84,1.49,+3.5,2.06,1.84,+38,1.96,1.93
82,ATP Australian Open,australia,2018-01-16,Kukushkin M.,Gojowczyk P.,"Final result 0:3 (3:6, 3:6, 1:6)",2.63,1.55,+3.5,2.01,1.88,+37,1.91,1.98
83,ATP Australian Open,australia,2018-01-16,Goffin D.,Bachinger M.,"Final result 3:1 (63:7, 6:3, 6:2, 6:4)",1.05,14.68,-9,1.98,1.91,+28,1.93,1.95
84,ATP Australian Open,australia,2018-01-16,Fabbiano T.,Zverev A.,"Final result 0:3 (1:6, 65:7, 5:7)",22.73,1.02,+9.5,1.81,2.06,+27.5,2.01,1.88
85,ATP Australian Open,australia,2018-01-16,Querrey S.,Lopez F.,"Final result 3:0 (6:3, 6:4, 6:2)",1.81,2.11,-1.5,2.00,1.89,+41,1.97,1.92
86,ATP Australian Open,australia,2018-01-16,Sonego L.,Haase R.,"Final result 3:1 (6:3, 7:5, 66:7, 7:5)",3.53,1.35,+4.5,1.99,1.81,+38,1.95,1.93
87,ATP Australian Open,australia,2018-01-16,Bautista-Agut R.,Verdasco F.,"Final result 0:3 (1:6, 5:7, 5:7)",1.44,3.02,-5,2.04,1.82,+38,1.95,1.91
88,ATP Australian Open,australia,2018-01-16,Benneteau J.,Daniel T.,"Final result 3:1 (66:7, 7:60, 6:4, 6:1)",1.51,2.75,-4,1.99,1.86,+36.5,1.96,1.91
89,ATP Australian Open,australia,2018-01-16,Berrettini M.,Mannarino A.,"Final result 0:3 (4:6, 4:6, 4:6)",3.81,1.31,+5.5,1.94,1.94,+37,1.95,1.93
90,ATP Australian Open,australia,2018-01-16,Albot R.,Fucsovics M.,"Final result 1:3 (2:6, 3:6, 6:4, 5:7)",2.93,1.46,+4,2.00,1.85,+36.5,1.96,1.93
91,ATP Australian Open,australia,2018-01-16,Kicker N.,Thompson J.,"Final result 3:2 (6:3, 6:1, 4:6, 3:6, 6:3)",6.20,1.16,+7,1.90,1.99,+33,1.98,1.91
92,ATP Australian Open,australia,2018-01-16,Lacko L.,Raonic M.,"Final result 3:1 (65:7, 7:5, 6:4, 7:64)",5.68,1.18,+5.5,2.03,1.86,none,none,none
93,ATP Australian Open,australia,2018-01-16,Safranek V.,Vesely J.,"Final result 0:3 (4:6, 3:6, 3:6)",4.46,1.25,+5.5,2.00,1.89,+36.5,1.97,1.92
94,ATP Australian Open,australia,2018-01-16,Stebe C.,Marterer M.,"Final result 0:3 (0:6, 3:6, 4:6)",2.52,1.59,+3.5,1.98,1.91,+36.5,1.91,1.98
95,ATP Australian Open,australia,2018-01-16,Krajinovic F.,Mannarino A. ,Canceled,3.74,1.32,+5.5,1.94,1.94,+37,1.90,1.99
96,ATP Australian Open,australia,2018-01-15,King K.,Tsonga J-W.,"Final result 0:3 (4:6, 4:6, 1:6)",8.67,1.10,+7,2.13,1.74,+32,1.99,1.90
97,ATP Australian Open,australia,2018-01-15,Brown D.,Sousa J.,"Final result 2:3 (4:6, 3:6, 6:4, 7:64, 1:6)",3.22,1.40,+4.5,2.06,1.81,+37,1.94,1.94
98,ATP Australian Open,australia,2018-01-15,Caruso S.,Jaziri M.,"Final result 2:3 (7:62, 6:3, 3:6, 5:7, 3:6)",2.25,1.72,-0.5,1.98,1.85,+38,1.92,1.97
99,ATP Australian Open,australia,2018-01-15,Nadal R.,Estrella V.,"Final result 3:0 (6:1, 6:1, 6:1)",1.01,29.16,-11,1.93,1.96,+25.5,2.08,1.81
100,ATP Australian Open,australia,2018-01-15,Kyrgios N.,Silva D. R.,"Final result 3:0 (6:1, 6:2, 6:4)",1.03,19.17,-8.5,1.93,1.95,+28.5,1.86,2.03
101,ATP Australian Open,australia,2018-01-15,Bemelmans R.,Pouille L.,"Final result 3:1 (6:4, 6:4, 64:7, 7:66)",5.39,1.19,+6,1.98,1.91,+35,1.91,1.98
102,ATP Australian Open,australia,2018-01-15,Jarry N.,Mayer L.,"Final result 0:3 (2:6, 61:7, 3:6)",2.96,1.46,+4,1.95,1.90,+38,1.94,1.94
103,ATP Australian Open,australia,2018-01-15,Millman J.,Coric B.,"Final result 3:0 (7:5, 6:4, 6:1)",2.18,1.77,+1,2.02,1.83,+38.5,1.94,1.94
104,ATP Australian Open,australia,2018-01-15,Ruud C.,Halys Q.,"Final result 3:2 (6:3, 3:6, 65:7, 7:5, 11:9)",1.90,2.01,-1,1.98,1.88,+38,1.94,1.94
105,ATP Australian Open,australia,2018-01-15,Baghdatis M.,Bhambri Y.,"Final result 3:0 (7:64, 6:4, 6:3)",1.86,2.05,-1.5,1.98,1.91,+37.5,1.94,1.94
106,ATP Australian Open,australia,2018-01-15,Melzer G.,Basilashvili N.,"Final result 1:3 (3:6, 4:6, 6:2, 3:6)",2.66,1.54,+4,1.96,1.93,+37,1.95,1.90
107,ATP Australian Open,australia,2018-01-15,Sugita Y.,Sock J.,"Final result 3:1 (6:1, 7:64, 5:7, 6:3)",2.95,1.46,+4,2.02,1.85,+37.5,1.99,1.90
108,ATP Australian Open,australia,2018-01-15,McDonald M.,Ymer E.,"Final result 3:1 (6:4, 6:3, 4:6, 6:1)",1.95,1.95,-0.5,1.98,1.87,+37.5,1.95,1.93
109,ATP Australian Open,australia,2018-01-15,Simon G.,Copil M.,"Final result 3:0 (7:5, 6:4, 6:3)",1.41,3.18,-5,2.09,1.78,+38,1.96,1.93
110,ATP Australian Open,australia,2018-01-15,Karlovic I.,Djere L.,"Final result 3:0 (7:63, 6:3, 7:62)",1.99,1.92,-0.5,1.97,1.88,+42.5,1.93,1.94
111,ATP Australian Open,australia,2018-01-15,Lorenzi P.,Dzumhur D.,"Final result 2:3 (6:3, 6:2, 65:7, 2:6, 4:6)",2.32,1.68,+2,1.99,1.87,+38,1.94,1.94
112,ATP Australian Open,australia,2018-01-15,Pospisil V.,Cilic M.,"Final result 1:3 (2:6, 2:6, 6:4, 65:7)",6.71,1.14,+6.5,1.97,1.92,+34.5,1.91,1.98
113,ATP Australian Open,australia,2018-01-15,Schwartzman D.,Lajovic D.,"Final result 3:2 (2:6, 6:3, 5:7, 6:4, 11:9)",1.27,4.21,-6.5,1.99,1.85,+36,1.94,1.94
114,ATP Australian Open,australia,2018-01-15,Dimitrov G.,Novak D.,"Final result 3:0 (6:3, 6:2, 6:1)",1.02,22.73,-9,2.04,1.85,+28.5,1.86,2.03
115,ATP Australian Open,australia,2018-01-15,Troicki V.,Bolt A.,"Final result 3:2 (62:7, 4:6, 6:2, 6:3, 6:4)",1.31,3.80,-5.5,1.88,2.01,+36,1.95,1.93
116,ATP Australian Open,australia,2018-01-15,Tsitsipas S.,Shapovalov D.,"Final result 0:3 (1:6, 3:6, 65:7)",2.18,1.77,+1,1.97,1.87,+40.5,1.96,1.93
117,ATP Australian Open,australia,2018-01-15,Kohlschreiber P.,Nishioka Y.,"Final result 2:3 (3:6, 6:2, 0:6, 6:1, 2:6)",1.30,3.89,-6,2.05,1.80,+35.5,1.96,1.93
118,ATP Australian Open,australia,2018-01-15,Lu Y.H.,Cilic M.,Canceled,11.00,1.07,+7.5,2.11,1.76,+31,1.99,1.90
119,ATP Australian Open,australia,2018-01-15,Ebden M.,Isner J.,"Final result 3:1 (6:4, 3:6, 6:3, 6:3)",3.60,1.34,+4,2.00,1.89,+41,1.92,1.97
120,ATP Australian Open,australia,2018-01-15,Ferrer D.,Rublev A.,"Final result 2:3 (5:7, 7:66, 2:6, 7:66, 2:6)",2.01,1.90,-1,2.00,1.86,+38.5,1.93,1.96
121,ATP Australian Open,australia,2018-01-15,Seppi A.,Moutet C.,"Final result 3:1 (3:6, 6:4, 6:2, 6:2)",1.34,3.59,-6,2.04,1.81,+36.5,1.98,1.91
122,ATP Australian Open,australia,2018-01-15,Delbonis F.,Muller G.,"Final result 0:3 (5:7, 4:6, 3:6)",4.22,1.27,+5.5,1.90,1.99,+36.5,1.93,1.93
123,ATP Australian Open,australia,2018-01-15,Anderson K.,Edmund K.,"Final result 2:3 (7:64, 3:6, 6:3, 3:6, 4:6)",1.45,2.97,-4,2.03,1.83,+40,1.92,1.97
124,ATP Australian Open,australia,2018-01-15,Carreno-Busta P.,Kubler J.,"Final result 3:1 (7:5, 4:6, 7:5, 6:1)",1.27,4.22,-6,2.06,1.81,+35.5,1.96,1.90
125,ATP Australian Open,australia,2018-01-15,Cuevas P.,Youzhny M.,"Final result 3:0 (7:67, 6:3, 7:5)",1.77,2.18,-2,1.99,1.87,+38,1.98,1.91
126,ATP Australian Open,australia,2018-01-15,Herbert P.,Istomin D.,"Final result 1:3 (2:6, 1:6, 7:5, 63:7)",2.27,1.71,+1.5,1.99,1.90,+38.5,1.93,1.95
127,ATP Australian Open,australia,2018-01-15,Dolgopolov A.,Haider-Maurer A.,"Final result 3:0 (7:63, 6:3, 6:4)",1.03,18.28,-9,2.00,1.89,+28.5,1.95,1.93
128,ATP Australian Open,australia,2018-01-15,Sela D.,Harrison R.,"Final result 2:3 (3:6, 7:5, 6:3, 5:7, 2:6)",3.39,1.37,+5,2.03,1.86,+37,1.93,1.96
129,ATP Australian Open,australia,2018-01-14,Pospisil V.,Ramanathan R.,"Final result 2:1 (6:4, 4:6, 6:4)",1.50,2.68,-3,2.10,1.78,+23.5,1.98,1.88
130,ATP Australian Open,australia,2018-01-14,Bourgue M.,Caruso S.,"Final result 1:2 (6:3, 65:7, 4:6)",1.69,2.23,-3,2.05,1.78,+22,1.86,1.96
131,ATP Australian Open,australia,2018-01-14,Bachinger M.,Gonzalez A.,"Final result 2:0 (6:1, 6:4)",1.47,2.80,-3,1.95,1.90,+22.5,1.99,1.86
132,ATP Australian Open,australia,2018-01-14,Bemelmans R.,Lee D. H.,"Final result 2:0 (6:4, 6:4)",1.56,2.51,-2.5,1.93,1.93,+22.5,1.99,1.86
133,ATP Australian Open,australia,2018-01-14,Escobedo E.,Ruud C.,"Final result 1:2 (2:6, 7:62, 1:6)",1.72,2.18,-2,2.00,1.82,+22.5,1.88,1.98
134,ATP Australian Open,australia,2018-01-14,Sonego L.,Tomic B.,"Final result 2:1 (6:1, 65:7, 6:4)",2.89,1.44,+3,1.99,1.86,+23,1.95,1.90
135,ATP Australian Open,australia,2018-01-13,Bhambri Y.,Polansky P.,"Final result 2:1 (1:6, 6:3, 6:3)",1.43,2.97,-3.5,1.99,1.86,+22,1.98,1.88
136,ATP Australian Open,australia,2018-01-13,Collarini A.,Safranek V.,"Final result 0:2 (65:7, 2:6)",2.64,1.52,+2.5,2.05,1.78,+22,1.89,1.96
137,ATP Australian Open,australia,2018-01-13,Fratangelo B.,Halys Q.,"Final result 0:2 (5:7, 1:6)",1.69,2.24,-2.5,2.04,1.78,+22.5,1.90,1.95
138,ATP Australian Open,australia,2018-01-13,King D.,Ymer E.,"Final result 0:2 (3:6, 4:6)",2.00,1.85,+0.5,1.92,1.88,+22.5,1.98,1.88
139,ATP Australian Open,australia,2018-01-13,Kozlov S.,Brown D.,"Final result 1:2 (4:6, 6:3, 3:6)",1.68,2.25,-2.5,2.01,1.81,+23,1.93,1.92
140,ATP Australian Open,australia,2018-01-13,Mousley B.,Munar J.,"Final result 0:2 (5:7, 2:6)",3.08,1.40,+3.5,1.99,1.86,+22,1.89,1.96
141,ATP Australian Open,australia,2018-01-13,Novak D.,Soeda G.,"Final result 2:1 (4:6, 6:2, 6:2)",2.58,1.54,+2.5,2.07,1.76,+22,1.91,1.94
142,ATP Australian Open,australia,2018-01-13,Kudla D.,Berrettini M.,"Final result 2:1 (4:6, 6:3, 7:5)",2.54,1.55,+2,2.03,1.79,+23,1.90,1.95
143,ATP Australian Open,australia,2018-01-13,McDonald M.,Robert S.,"Final result 2:1 (7:65, 67:7, 6:4)",1.48,2.75,-3.5,1.99,1.86,none,none,none
144,ATP Australian Open,australia,2018-01-13,Smith J. P.,King K.,"Final result 0:2 (4:6, 66:7)",1.46,2.82,-3,1.96,1.89,+23,1.95,1.90
