,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
0,ATP Australian Open,australia,2018-01-28,Cilic M.,Federer R.,"Final result 2:3 (2:6, 7:65, 3:6, 6:3, 1:6)",4.66,1.25,+5,2.05,1.85,+38.5,1.95,1.95
1,ATP Australian Open,australia,2018-01-26,Chung H.,Federer R.,"Chung H. retired (1:6, 2:5)",6.22,1.17,+6,1.92,1.99,+36.5,1.93,1.97
2,ATP Australian Open,australia,2018-01-25,Cilic M.,Edmund K.,"Final result 3:0 (6:2, 7:64, 6:2)",1.33,3.83,-5,2.12,1.78,+40,1.93,1.97
3,ATP Australian Open,australia,2018-01-24,Berdych T.,Federer R.,"Final result 0:3 (61:7, 3:6, 4:6)",5.80,1.18,+5.5,2.02,1.88,+37,1.92,1.99
4,ATP Australian Open,australia,2018-01-24,Sandgren T.,Chung H.,"Final result 0:3 (4:6, 65:7, 3:6)",4.13,1.29,+5.5,2.07,1.81,+37.5,1.93,1.95
5,ATP Australian Open,australia,2018-01-23,Nadal R.,Cilic M.,"Nadal R. retired (6:3, 3:6, 7:65, 2:6, 0:2)",1.28,4.18,-5.5,1.94,1.96,+37,1.91,2.00
6,ATP Australian Open,australia,2018-01-23,Dimitrov G.,Edmund K.,"Final result 1:3 (4:6, 6:3, 3:6, 4:6)",1.32,3.83,-5,1.87,2.04,none,none,none
7,ATP Australian Open,australia,2018-01-22,Djokovic N.,Chung H.,"Final result 0:3 (64:7, 5:7, 63:7)",1.26,4.40,-5.5,2.02,1.88,+38,1.96,1.92
8,ATP Australian Open,australia,2018-01-22,Thiem D.,Sandgren T.,"Final result 2:3 (2:6, 6:4, 64:7, 7:67, 3:6)",1.13,7.40,-7,1.95,1.95,+33,1.93,1.97
9,ATP Australian Open,australia,2018-01-22,Fucsovics M.,Federer R.,"Final result 0:3 (4:6, 63:7, 2:6)",20.83,1.03,+8.5,2.00,1.91,+29,2.04,1.87
