,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
0,ATP Australian Open,australia,2015-02-01,Djokovic N.,Murray A.,"Final result 3:1 (7:65, 64:7, 6:3, 6:0)",1.45,3.08,-4,1.95,1.97,+41,1.95,1.95
1,ATP Australian Open,australia,2015-01-30,Djokovic N.,Wawrinka S.,"Final result 3:2 (7:61, 3:6, 6:4, 4:6, 6:0)",1.26,4.53,-5.5,2.12,1.78,+39,1.92,1.99
2,ATP Australian Open,australia,2015-01-29,Berdych T.,Murray A.,"Final result 1:3 (7:66, 0:6, 3:6, 5:7)",2.28,1.74,+1.5,1.97,1.93,+42,1.93,1.94
3,ATP Australian Open,australia,2015-01-28,Djokovic N.,Raonic M.,"Final result 3:0 (7:65, 6:4, 6:2)",1.15,6.54,-6,2.04,1.87,+37.5,1.94,1.94
4,ATP Australian Open,australia,2015-01-28,Wawrinka S.,Nishikori K.,"Final result 3:0 (6:3, 6:4, 7:66)",2.30,1.71,none,none,none,+42,1.94,1.94
5,ATP Australian Open,australia,2015-01-27,Murray A.,Kyrgios N.,"Final result 3:0 (6:3, 7:65, 6:3)",1.15,6.55,-7.5,1.94,1.96,+34.5,1.97,1.93
6,ATP Australian Open,australia,2015-01-27,Berdych T.,Nadal R.,"Final result 3:0 (6:2, 6:0, 7:65)",2.51,1.61,+2.5,2.00,1.86,+40.5,1.95,1.93
7,ATP Australian Open,australia,2015-01-26,Djokovic N.,Muller G.,"Final result 3:0 (6:4, 7:5, 7:5)",1.03,19.00,-8,1.94,1.96,+30,1.93,1.97
8,ATP Australian Open,australia,2015-01-26,Lopez F.,Raonic M.,"Final result 2:3 (4:6, 6:4, 3:6, 7:67, 3:6)",5.84,1.18,+5,2.04,1.87,+39.5,1.95,1.95
9,ATP Australian Open,australia,2015-01-26,Ferrer D.,Nishikori K.,"Final result 0:3 (3:6, 3:6, 3:6)",3.21,1.41,+4,2.05,1.83,+39,1.95,1.92
10,ATP Australian Open,australia,2015-01-26,Wawrinka S.,Garcia-Lopez G.,"Final result 3:1 (7:62, 6:4, 4:6, 7:68)",1.08,10.50,-7.5,1.93,1.97,+31.5,1.97,1.93
11,ATP Australian Open,australia,2015-01-25,Murray A.,Dimitrov G.,"Final result 3:1 (6:4, 65:7, 6:3, 7:5)",1.32,3.80,-6,2.09,1.83,+36.5,1.92,1.99
